name,avg_speed,resetwalkbalance,home_range,distanceToPark,proximity,totaldistance,totalweekbalance,weekGreenminutes
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,13280.605054482305,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,11299.16305933691,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,2,22106.151625901595,252,153.49994463553065
older_adult3,1.46,36.0,1576.8,1073.2006731506199,2,21238.5689278951,252,209.82028432075492
older_adult4,1.46,24.0,1051.2,823.9220222271194,0,12287.482355911747,168,0.0
older_adult0,1.46,24.0,1051.2,1501.8126194844115,0,12327.449651514931,168,0.0
older_adult1,1.53,18.0,826.2,1501.8126194844115,0,10747.528090665892,126,0.0
older_adult2,1.53,36.0,1652.4,823.9220222271194,1,20977.64837639371,252,145.26212570287743
older_adult3,1.46,36.0,1576.8,1073.2006731506199,1,19999.322968956705,252,124.41058514694231
older_adult4,1.46,24.0,1051.2,823.9220222271194,1,12890.030243259856,168,93.89293952217052
